序号,汉字,发音,首字母,笔画数,几级字,多音数
0001,一,yī,Y,1,1,
0002,乙,yǐ,Y,1,1,
0003,二,èr,È,2,1,
0004,十,shí,S,2,1,
0005,丁,dīng,D,2,1,
0006,厂,chǎng,C,2,1,
0007,七,qī,Q,2,1,
0008,卜,bo|bǔ,B,2,1,2
0009,八,bā,B,2,1,
0010,人,rén,R,2,1,
0011,入,rù,R,2,1,
0012,儿,ér,É,2,1,
0013,匕,bǐ,B,2,1,
0014,几,jī|jǐ,J,2,1,2
0015,九,jiǔ,J,2,1,
0016,刁,diāo,D,2,1,
0017,了,le|liǎo,L,2,1,2
0018,刀,dāo,D,2,1,
0019,力,lì,L,2,1,
0020,乃,nǎi,N,2,1,
0021,又,yòu,Y,2,1,
0022,三,sān,S,3,1,
0023,干,gān|gàn,G,3,1,2
0024,于,yú,Y,3,1,
0025,亏,kuī,K,3,1,
0026,工,gōng,G,3,1,
0027,土,tǔ,T,3,1,
0028,士,shì,S,3,1,
0029,才,cái,C,3,1,
0030,下,xià,X,3,1,
0031,寸,cùn,C,3,1,
0032,大,dà|dài,D,3,1,2
0033,丈,zhàng,Z,3,1,
0034,与,yǔ|yù,Y,3,1,2
0035,万,mò|wàn,M,3,1,2
0036,上,shǎng|shàng,S,3,1,2
0037,小,xiǎo,X,3,1,
0038,口,kǒu,K,3,1,
0039,山,shān,S,3,1,
0040,巾,jīn,J,3,1,
0041,千,qiān,Q,3,1,
0042,乞,qǐ,Q,3,1,
0043,川,chuān,C,3,1,
0044,亿,yì,Y,3,1,
0045,个,gě|gè,G,3,1,2
0046,夕,xī,X,3,1,
0047,久,jiǔ,J,3,1,
0048,么,me,M,3,1,
0049,勺,sháo,S,3,1,
0050,凡,fán,F,3,1,
0051,丸,wán,W,3,1,
0052,及,jí,J,3,1,
0053,广,guǎng,G,3,1,
0054,亡,wáng,W,3,1,
0055,门,mén,M,3,1,
0056,丫,yā,Y,3,1,
0057,义,yì,Y,3,1,
0058,之,zhī,Z,3,1,
0059,尸,shī,S,3,1,
0060,己,jǐ,J,3,1,
0061,已,yǐ,Y,3,1,
0062,巳,sì,S,3,1,
